ts,perclos_window,eye_closed_now,head_pitch,score,trigger_fired
0.0,,0,0,0.000,0
0.1,,0,0,0.000,0
0.2,,0,0,0.000,0
0.3,,0,0,0.000,0
0.4,,0,0,0.000,0
0.5,,0,0,0.000,0
0.6,,0,0,0.000,0
0.7,,0,0,0.000,0
0.8,,0,0,0.000,0
0.9,,0,0,0.000,0
1.0,,0,0,0.000,0
1.1,,0,0,0.000,0
1.2,,0,0,0.000,0
1.3,,0,0,0.000,0
1.4,,0,0,0.000,0
1.5,,0,0,0.000,0
1.6,,0,0,0.000,0
1.7,,0,0,0.000,0
1.8,,0,0,0.000,0
1.9,,0,0,0.000,0
2.0,,0,0,0.000,0
2.1,,0,0,0.000,0
2.2,,0,0,0.000,0
2.3,,0,0,0.000,0
2.4,,0,0,0.000,0
2.5,,0,0,0.000,0
2.6,,0,0,0.000,0
2.7,,0,0,0.000,0
2.8,,0,0,0.000,0
2.9,,0,0,0.000,0
3.0,,1,28,0.478,0
3.1,,1,28,0.505,0
3.2,,1,28,0.532,0
3.3,,1,28,0.560,0
3.4,,1,28,0.588,0
3.5,,1,28,0.615,0
3.6,,1,28,0.643,0
3.7,,1,28,0.670,0
3.8,,1,28,0.698,0
3.9,,1,28,0.725,0
4.0,,1,28,0.752,0
4.1,,1,28,0.780,0
4.2,,1,28,0.808,0
4.3,,1,28,0.835,0
4.4,,1,28,0.863,0
4.5,,1,28,0.890,0
4.6,,1,28,0.917,0
4.7,,1,28,0.945,0
4.8,,1,28,0.972,0
4.9,,1,28,1.000,0
5.0,,1,28,1.000,0
5.1,,1,28,1.000,0
5.2,,1,28,1.000,0
5.3,,1,28,1.000,0
5.4,,1,28,1.000,0
5.5,,1,28,1.000,0
5.6,,1,28,1.000,0
5.7,,1,28,1.000,0
5.8,,1,28,1.000,0
5.9,,1,28,1.000,0
6.0,,1,28,1.000,0
6.1,,1,28,1.000,0
6.2,,1,28,1.000,0
6.3,,1,28,1.000,0
6.4,,1,28,1.000,0
6.5,,1,28,1.000,1
6.6,,1,28,1.000,0
6.7,,1,28,1.000,0
6.8,,1,28,1.000,0
6.9,,1,28,1.000,0
7.0,,0,0,0.522,0
7.1,,0,0,0.495,0
7.2,,0,0,0.468,0
7.3,,0,0,0.440,0
7.4,,0,0,0.413,0
7.5,,0,0,0.385,0
7.6,,0,0,0.358,0
7.7,,0,0,0.330,0
7.8,,0,0,0.303,0
7.9,,0,0,0.275,0
8.0,,0,0,0.248,0
8.1,,0,0,0.220,0
8.2,,0,0,0.193,0
8.3,,0,0,0.165,0
8.4,,0,0,0.138,0
8.5,,0,0,0.110,0
8.6,,0,0,0.083,0
8.7,,0,0,0.055,0
8.8,,0,0,0.028,0
8.9,,0,0,0.000,0
9.0,,0,0,0.000,0
9.1,,0,0,0.000,0
9.2,,0,0,0.000,0
9.3,,0,0,0.000,0
9.4,,0,0,0.000,0
9.5,,0,0,0.000,0
9.6,,0,0,0.000,0
9.7,,0,0,0.000,0
9.8,,0,0,0.000,0
9.9,,0,0,0.000,0
